study,sample,genotype,name,platform_model,stage,stage PO,stage PO name,tissue,tissue PO,tissue PO name,treatment,treatment PECO,treatment PECO name
SRP062745,SRR2306552,Chinese Spring,SRR2306552,Illumina HiSeq 2500,1 week,PO:0025337,life of whole plant stage,Leaf,PO_0025034,leaf,48 hour of salt stress,PECO:0007185,salt exposure
SRP045409,SRR1542409,TAM107,SRR1542409,Illumina HiSeq 2000,1 week,PO:0025337,life of whole plant stage,Leaf,PO_0025034,leaf,6 hour of drought stress,,
SRP045409,SRR1542408,TAM107,SRR1542408,Illumina HiSeq 2000,1 week,PO:0025337,life of whole plant stage,Leaf,PO_0025034,leaf,6 hour of drought stress,,
SRP045409,SRR1542417,TAM107,SRR1542417,Illumina HiSeq 2000,1 week,PO:0025337,life of whole plant stage,Leaf,PO_0025034,leaf,6 hour of drought&heat combined stress,,
SRP045409,SRR1542416,TAM107,SRR1542416,Illumina HiSeq 2000,1 week,PO:0025337,life of whole plant stage,Leaf,PO_0025034,leaf,6 hour of drought&heat combined stress,,
SRP045409,SRR1542413,TAM107,SRR1542413,Illumina HiSeq 2000,1 week,PO:0025337,life of whole plant stage,Leaf,PO_0025034,leaf,6 hour of heat stress,,
SRP045409,SRR1542412,TAM107,SRR1542412,Illumina HiSeq 2000,1 week,PO:0025337,life of whole plant stage,Leaf,PO_0025034,leaf,6 hour of heat stress,,
SRP062745,SRR2306554,QM-6,SRR2306554,Illumina HiSeq 2500,1 week,PO:0025337,life of whole plant stage,Leaf,PO_0025034,leaf,6 hour of salt stress,PECO:0007185,salt exposure
SRP062745,SRR2306546,Chinese Spring,SRR2306546,Illumina HiSeq 2500,1 week,PO:0025337,life of whole plant stage,Leaf,PO_0025034,leaf,6 hour of salt stress,PECO:0007185,salt exposure
SRP045409,SRR1542405,TAM107,SRR1542405,Illumina HiSeq 2000,1 week,PO:0025337,life of whole plant stage,Leaf,PO_0025034,leaf,no treatment,none,none
SRP045409,SRR1542404,TAM107,SRR1542404,Illumina HiSeq 2000,1 week,PO:0025337,life of whole plant stage,Leaf,PO_0025034,leaf,no treatment,none,none
SRP062745,SRR2306555,QM-6,SRR2306555,Illumina HiSeq 2500,1 week,PO:0025337,life of whole plant stage,Leaf,PO_0025034,leaf,no treatment in 12h,none,none
SRP062745,SRR2306547,Chinese Spring,SRR2306547,Illumina HiSeq 2500,1 week,PO:0025337,life of whole plant stage,Leaf,PO_0025034,leaf,no treatment in 12h,none,none
SRP062745,SRR2306556,QM-6,SRR2306556,Illumina HiSeq 2500,1 week,PO:0025337,life of whole plant stage,Leaf,PO_0025034,leaf,no treatment in 24h,none,none
SRP062745,SRR2306548,Chinese Spring,SRR2306548,Illumina HiSeq 2500,1 week,PO:0025337,life of whole plant stage,Leaf,PO_0025034,leaf,no treatment in 24h,none,none
SRP062745,SRR2306559,QM-6,SRR2306559,Illumina HiSeq 2500,1 week,PO:0025337,life of whole plant stage,Leaf,PO_0025034,leaf,no treatment in 48h,none,none
SRP062745,SRR2306551,Chinese Spring,SRR2306551,Illumina HiSeq 2500,1 week,PO:0025337,life of whole plant stage,Leaf,PO_0025034,leaf,no treatment in 48h,none,none
SRP062745,SRR2306553,QM-6,SRR2306553,Illumina HiSeq 2500,1 week,PO:0025337,life of whole plant stage,Leaf,PO_0025034,leaf,no treatment in 6h,none,none
SRP062745,SRR2306545,Chinese Spring,SRR2306545,Illumina HiSeq 2500,1 week,PO:0025337,life of whole plant stage,Leaf,PO_0025034,leaf,no treatment in 6h,none,none
SRP141021,SRR7030996,cv Chinese Spring,SRR7030996,Illumina HiSeq 4000,1_DAT_control_leaf,PO:0025337,life of whole plant stage,leaf tissues,PO_0025034,leaf,control,none,none
SRP141021,SRR7030995,cv Chinese Spring,SRR7030995,Illumina HiSeq 4000,1_DAT_control_leaf,PO:0025337,life of whole plant stage,leaf tissues,PO_0025034,leaf,control,none,none
SRP141021,SRR7030994,cv Chinese Spring,SRR7030994,Illumina HiSeq 4000,1_DAT_control_leaf,PO:0025337,life of whole plant stage,leaf tissues,PO_0025034,leaf,control,none,none
SRP141021,SRR7030993,cv Chinese Spring,SRR7030993,Illumina HiSeq 4000,1_DAT_control_leaf,PO:0025337,life of whole plant stage,leaf tissues,PO_0025034,leaf,control,none,none
SRP141021,SRR7031000,cv Chinese Spring,SRR7031000,Illumina HiSeq 4000,1_DAT_heat_leaf,PO:0025337,life of whole plant stage,leaf tissues,PO_0025034,leaf,heat,PECO:0007173,warm/hot temperature exposure
SRP141021,SRR7030999,cv Chinese Spring,SRR7030999,Illumina HiSeq 4000,1_DAT_heat_leaf,PO:0025337,life of whole plant stage,leaf tissues,PO_0025034,leaf,heat,PECO:0007173,warm/hot temperature exposure
SRP141021,SRR7030998,cv Chinese Spring,SRR7030998,Illumina HiSeq 4000,1_DAT_heat_leaf,PO:0025337,life of whole plant stage,leaf tissues,PO_0025034,leaf,heat,PECO:0007173,warm/hot temperature exposure
SRP141021,SRR7030997,cv Chinese Spring,SRR7030997,Illumina HiSeq 4000,1_DAT_heat_leaf,PO:0025337,life of whole plant stage,leaf tissues,PO_0025034,leaf,heat,PECO:0007173,warm/hot temperature exposure
SRP213797,SRR9657444,XX329,XX329_L_2,Illumina HiSeq 2500,10 days,PO:0025337,life of whole plant stage,leaf,PO_0025034,leaf,NA,NA,NA
SRP213797,SRR9657443,XX329,XX329_L_1,Illumina HiSeq 2500,10 days,PO:0025337,life of whole plant stage,leaf,PO_0025034,leaf,NA,NA,NA
SRP213797,SRR9657440,ETW,ETW_L_2,Illumina HiSeq 2500,10 days,PO:0025337,life of whole plant stage,leaf,PO_0025034,leaf,NA,NA,NA
SRP213797,SRR9657439,ETW,ETW_L_1,Illumina HiSeq 2500,10 days,PO:0025337,life of whole plant stage,leaf,PO_0025034,leaf,NA,NA,NA
SRP213797,SRR9657446,XX329,XX329_R_2,Illumina HiSeq 2500,10 days,PO:0025337,life of whole plant stage,root,PO_0009005,root ,NA,NA,NA
SRP213797,SRR9657445,XX329,XX329_R_1,Illumina HiSeq 2500,10 days,PO:0025337,life of whole plant stage,root,PO_0009005,root ,NA,NA,NA
SRP213797,SRR9657442,ETW,ETW_R_2,Illumina HiSeq 2500,10 days,PO:0025337,life of whole plant stage,root,PO_0009005,root ,NA,NA,NA
SRP213797,SRR9657441,ETW,ETW_R_1,Illumina HiSeq 2500,10 days,PO:0025337,life of whole plant stage,root,PO_0009005,root ,NA,NA,NA
SRP166963,SRR8113982,Bobwhite,WT_FLB_10DAA_rep1,Illumina HiSeq 2500,10 days after anthesis rep1,PO_0001170,seed development stage,flag leaf blade,,,NA,NA,NA
SRP166963,SRR8113981,Bobwhite,WT_FLB_10DAA_rep2,Illumina HiSeq 2500,10 days after anthesis rep2,PO_0001170,seed development stage,flag leaf blade,,,NA,NA,NA
SRP166963,SRR8113988,Bobwhite,WT_FLB_10DAA_rep3,Illumina HiSeq 2500,10 days after anthesis rep3,PO_0001170,seed development stage,flag leaf blade,,,NA,NA,NA
ERP004505,ERR392061,Chinese Spring,Wheat_Room1_10DPA,Illumina HiSeq 2000,10 days post anthesis,PO_0001170,seed development stage,whole endosperm,PO_0009089,endosperm,cycles of 16 h of light at 20C and darkness of 8h at 15C,,
ERP004505,ERR392057,Chinese Spring,Wheat_Room2_10DPA,Illumina HiSeq 2000,10 days post anthesis,PO_0001170,seed development stage,whole endosperm,PO_0009089,endosperm,cycles of 16 h of light at 20C and darkness of 8h at 15C,,
ERP004505,ERR392072,Chinese Spring,Wheat_Room2_10DPA_Rep,Illumina HiSeq 2000,10 days post anthesis,PO_0001170,seed development stage,whole endosperm,PO_0009089,endosperm,NA,NA,NA
ERP004505,ERR392055,Chinese Spring,Wheat_Room1_10DPA_Rep,Illumina HiSeq 2000,10 days post anthesis,PO_0001170,seed development stage,whole endosperm,PO_0009089,endosperm,NA,NA,NA
SRP187343,SRR8658944,Xiaoyan-6,GR10-1,Illumina HiSeq 2500,10 days post-anthesis,PO_0001170,seed development stage,grains at 10 DPA replicate 1,PO_0009010,seed,NA,NA,NA
SRP187343,SRR8658943,Xiaoyan-6,GR10-2,Illumina HiSeq 2500,10 days post-anthesis,PO_0001170,seed development stage,grains at 10 DPA replicate 2,PO_0009010,seed,NA,NA,NA
SRP110211,SRR5747859,CB037,SRR5747859,Illumina HiSeq 2500,10-day-old,PO:0025337,life of whole plant stage,leaf,PO_0025034,leaf,NA,NA,NA
SRP110211,SRR5747858,OE-8-10,SRR5747858,Illumina HiSeq 2500,10-day-old,PO:0025337,life of whole plant stage,leaf,PO_0025034,leaf,NA,NA,NA
SRP110211,SRR5747857,CB037,SRR5747857,Illumina HiSeq 2500,10-day-old,PO:0025337,life of whole plant stage,leaf,PO_0025034,leaf,NA,NA,NA
SRP110211,SRR5747856,OE-8-10,SRR5747856,Illumina HiSeq 2500,10-day-old,PO:0025337,life of whole plant stage,leaf,PO_0025034,leaf,NA,NA,NA
SRP110211,SRR5747855,OE-8-10,SRR5747855,Illumina HiSeq 2500,10-day-old,PO:0025337,life of whole plant stage,leaf,PO_0025034,leaf,NA,NA,NA
SRP110211,SRR5747854,CB037,SRR5747854,Illumina HiSeq 2500,10-day-old,PO:0025337,life of whole plant stage,leaf,PO_0025034,leaf,NA,NA,NA
SRP110211,SRR5747853,CB037,SRR5747853,Illumina HiSeq 2500,10-day-old,PO:0025337,life of whole plant stage,leaf,PO_0025034,leaf,NA,NA,NA
SRP110211,SRR5747852,OE-8-10,SRR5747852,Illumina HiSeq 2500,10-day-old,PO:0025337,life of whole plant stage,leaf,PO_0025034,leaf,NA,NA,NA
SRP110211,SRR5747851,OE-8-10,SRR5747851,Illumina HiSeq 2500,10-day-old,PO:0025337,life of whole plant stage,leaf,PO_0025034,leaf,NA,NA,NA
SRP110211,SRR5747850,OE-8-10,SRR5747850,Illumina HiSeq 2500,10-day-old,PO:0025337,life of whole plant stage,leaf,PO_0025034,leaf,NA,NA,NA
SRP110211,SRR5747849,OE-8-10,SRR5747849,Illumina HiSeq 2500,10-day-old,PO:0025337,life of whole plant stage,leaf,PO_0025034,leaf,NA,NA,NA
SRP110211,SRR5747848,CB037,SRR5747848,Illumina HiSeq 2500,10-day-old,PO:0025337,life of whole plant stage,leaf,PO_0025034,leaf,NA,NA,NA
SRP110211,SRR5747847,CB037,SRR5747847,Illumina HiSeq 2500,10-day-old,PO:0025337,life of whole plant stage,leaf,PO_0025034,leaf,NA,NA,NA
SRP110211,SRR5747846,CB037,SRR5747846,Illumina HiSeq 2500,10-day-old,PO:0025337,life of whole plant stage,leaf,PO_0025034,leaf,NA,NA,NA
SRP110211,SRR5747845,CB037,SRR5747845,Illumina HiSeq 2500,10-day-old,PO:0025337,life of whole plant stage,leaf,PO_0025034,leaf,NA,NA,NA
SRP110211,SRR5747844,OE-8-10,SRR5747844,Illumina HiSeq 2500,10-day-old,PO:0025337,life of whole plant stage,leaf,PO_0025034,leaf,NA,NA,NA
SRP110211,SRR5747843,CB037,SRR5747843,Illumina HiSeq 2500,10-day-old,PO:0025337,life of whole plant stage,leaf,PO_0025034,leaf,NA,NA,NA
SRP110211,SRR5747842,OE-8-10,SRR5747842,Illumina HiSeq 2500,10-day-old,PO:0025337,life of whole plant stage,leaf,PO_0025034,leaf,NA,NA,NA
SRP189137,SRR8768001,ND3338,NIL5_10DAP_JD6,Illumina HiSeq 2500,10DAP,PO_0004505,fertilized ovule stage,grain,PO_0009010,seed,NA,NA,NA
SRP189137,SRR8768000,ND3338,NIL5_10DAP_ND3338,Illumina HiSeq 2500,10DAP,PO_0004505,fertilized ovule stage,grain,PO_0009010,seed,NA,NA,NA
SRP189137,SRR8767999,ND3338,NIL4_10DAP_JD6,Illumina HiSeq 2500,10DAP,PO_0004505,fertilized ovule stage,grain,PO_0009010,seed,NA,NA,NA
SRP189137,SRR8767998,ND3338,NIL4_10DAP_ND3338,Illumina HiSeq 2500,10DAP,PO_0004505,fertilized ovule stage,grain,PO_0009010,seed,NA,NA,NA
SRP189137,SRR8767997,ND3338,NIL2_10DAP_JD6,Illumina HiSeq 2500,10DAP,PO_0004505,fertilized ovule stage,grain,PO_0009010,seed,NA,NA,NA
SRP189137,SRR8767996,ND3338,NIL2_10DAP_ND3338,Illumina HiSeq 2500,10DAP,PO_0004505,fertilized ovule stage,grain,PO_0009010,seed,NA,NA,NA
SRP052836,SRR1777485,260-1-1-4,SRR1777485,Illumina HiSeq 2000,12 hours after inoculation,PO:0025337,life of whole plant stage,Spikelet,PO_0009051,spikelet,DON inoculated,,
SRP052836,SRR1777484,260-1-1-4,SRR1777484,Illumina HiSeq 2000,12 hours after inoculation,PO:0025337,life of whole plant stage,Spikelet,PO_0009051,spikelet,DON inoculated,,
SRP052836,SRR1777483,260-1-1-4,SRR1777483,Illumina HiSeq 2000,12 hours after inoculation,PO:0025337,life of whole plant stage,Spikelet,PO_0009051,spikelet,DON inoculated,,
SRP052836,SRR1777478,260-1-1-2,SRR1777478,Illumina HiSeq 2000,12 hours after inoculation,PO:0025337,life of whole plant stage,Spikelet,PO_0009051,spikelet,DON inoculated,,
SRP052836,SRR1777477,260-1-1-2,SRR1777477,Illumina HiSeq 2000,12 hours after inoculation,PO:0025337,life of whole plant stage,Spikelet,PO_0009051,spikelet,DON inoculated,,
SRP052836,SRR1777470,260-1-1-2,SRR1777470,Illumina HiSeq 2000,12 hours after inoculation,PO:0025337,life of whole plant stage,Spikelet,PO_0009051,spikelet,DON inoculated,,
SRP052836,SRR1777487,260-1-1-4,SRR1777487,Illumina HiSeq 2000,12 hours after inoculation,PO:0025337,life of whole plant stage,Spikelet,PO_0009051,spikelet,Water inoculated,,
SRP052836,SRR1777486,260-1-1-2,SRR1777486,Illumina HiSeq 2000,12 hours after inoculation,PO:0025337,life of whole plant stage,Spikelet,PO_0009051,spikelet,Water inoculated,,
SRP167092,SRR9360460,Chinese Spring,SRR9360460,Illumina HiSeq 3000,12-days-old seedlings,PO:0007131,seedling development stage,12-days-old seedlings,,,NA,NA,NA
SRP167092,SRR9360459,Chinese Spring,SRR9360459,Illumina HiSeq 3000,12-days-old seedlings,PO:0007131,seedling development stage,12-days-old seedlings,,,NA,NA,NA
SRP167092,SRR8126630,Chinese Spring,SRR8126630,Illumina HiSeq 3000,12-days-old seedlings,PO:0007131,seedling development stage,12-days-old seedlings,,,NA,NA,NA
SRP093334,SRR6037856,Jimai5265,WT-12HAI-rep3,Illumina HiSeq 2500,12HAI,PO:0025337,life of whole plant stage,germinating seed,PO_0009010,seed,NA,NA,NA
SRP093334,SRR6037855,OE5,OE-12HAI-rep1,Illumina HiSeq 2500,12HAI,PO:0025337,life of whole plant stage,germinating seed,PO_0009010,seed,NA,NA,NA
SRP093334,SRR6037854,Jimai5265,WT-12HAI-rep1,Illumina HiSeq 2500,12HAI,PO:0025337,life of whole plant stage,germinating seed,PO_0009010,seed,NA,NA,NA
SRP093334,SRR6037853,Jimai5265,WT-12HAI-rep2,Illumina HiSeq 2500,12HAI,PO:0025337,life of whole plant stage,germinating seed,PO_0009010,seed,NA,NA,NA
SRP093334,SRR6037852,OE5,OE-12HAI-rep2,Illumina HiSeq 2500,12HAI,PO:0025337,life of whole plant stage,germinating seed,PO_0009010,seed,NA,NA,NA
SRP093334,SRR6037851,OE5,OE-12HAI-rep3,Illumina HiSeq 2500,12HAI,PO:0025337,life of whole plant stage,germinating seed,PO_0009010,seed,NA,NA,NA
SRP166963,SRR8113987,Bobwhite,WT_FLB_13DAA_rep1,Illumina HiSeq 2500,13 days after anthesis rep1,PO_0001170,seed development stage,flag leaf blade,,,NA,NA,NA
SRP166963,SRR8113996,Bobwhite,WT_FLB_13DAA_rep2,Illumina HiSeq 2500,13 days after anthesis rep2,PO_0001170,seed development stage,flag leaf blade,,,NA,NA,NA
SRP166963,SRR8113995,Bobwhite,WT_FLB_13DAA_rep3,Illumina HiSeq 2500,13 days after anthesis rep3,PO_0001170,seed development stage,flag leaf blade,,,NA,NA,NA
SRP068397,SRR3103104,Triticum aestivum L.,SRR3103104,Illumina HiSeq 2000,14 d after flowering,,,Pericarp,PO_0009084,pericarp,NA,NA,NA
SRP068397,SRR3102909,Triticum aestivum L.,SRR3102909,Illumina HiSeq 2000,14 d after flowering,,,Pericarp,PO_0009084,pericarp,NA,NA,NA
SRP157692,SRR7688759,Zhou 8425B,SRR7688759,Illumina HiSeq 4000,14 day post anthesis,PO_0001170,seed development stage,Embryo,PO:0009009,embryo,NA,NA,NA
SRP157692,SRR7688758,Zhou 8425B,SRR7688758,Illumina HiSeq 4000,14 day post anthesis,PO_0001170,seed development stage,Embryo,PO:0009009,embryo,NA,NA,NA
SRP157692,SRR7688757,Zhou 8425B,SRR7688757,Illumina HiSeq 4000,14 day post anthesis,PO_0001170,seed development stage,Embryo,PO:0009009,embryo,NA,NA,NA
SRP157692,SRR7688753,Zhou 8425B,SRR7688753,Illumina HiSeq 4000,14 day post anthesis,PO_0001170,seed development stage,Embryo,PO:0009009,embryo,NA,NA,NA
SRP157692,SRR7688752,Zhou 8425B,SRR7688752,Illumina HiSeq 4000,14 day post anthesis,PO_0001170,seed development stage,Embryo,PO:0009009,embryo,NA,NA,NA
SRP157692,SRR7688751,Zhou 8425B,SRR7688751,Illumina HiSeq 4000,14 day post anthesis,PO_0001170,seed development stage,Embryo,PO:0009009,embryo,NA,NA,NA
SRP148745,SRR7206512,Bobwhite SH 98 26,2644-B,Illumina HiSeq 2500,14 days,PO:0025337,life of whole plant stage,leaf,PO_0025034,leaf,NA,NA,NA
SRP148745,SRR7206511,Bobwhite SH 98 26,2644-A,Illumina HiSeq 2500,14 days,PO:0025337,life of whole plant stage,leaf,PO_0025034,leaf,NA,NA,NA
SRP148745,SRR7206510,Bobwhite SH 98 26,2644-D,Illumina HiSeq 2500,14 days,PO:0025337,life of whole plant stage,leaf,PO_0025034,leaf,NA,NA,NA
SRP148745,SRR7206509,Bobwhite SH 98 26,2644-C,Illumina HiSeq 2500,14 days,PO:0025337,life of whole plant stage,leaf,PO_0025034,leaf,NA,NA,NA
SRP148745,SRR7206508,Bobwhite SH 98 26,2644-F,Illumina HiSeq 2500,14 days,PO:0025337,life of whole plant stage,leaf,PO_0025034,leaf,NA,NA,NA
SRP148745,SRR7206507,Bobwhite SH 98 26,2644-E,Illumina HiSeq 2500,14 days,PO:0025337,life of whole plant stage,leaf,PO_0025034,leaf,NA,NA,NA
SRP187127,SRR8647647,bainong4199,wheat_seed_06_01,Illumina HiSeq 2500,14 days after pollination,PO_0004505,fertilized ovule stage,immature seed,PO_0009010,seed,NA,NA,NA
SRP067916,SRR3068477,Chinese Spring,SRR3068477,Illumina HiSeq 2500,15 days after anthesis,PO_0001170,seed development stage,Flag leaf,PO_0020103,flag leaf ,NA,NA,NA
SRP166963,SRR8113994,Bobwhite,WT_FLB_15DAA_rep1,Illumina HiSeq 2500,15 days after anthesis rep1,PO_0001170,seed development stage,flag leaf blade,,,NA,NA,NA
SRP166963,SRR8113993,Bobwhite,WT_FLB_15DAA_rep2,Illumina HiSeq 2500,15 days after anthesis rep2,PO_0001170,seed development stage,flag leaf blade,,,NA,NA,NA
SRP166963,SRR8113992,Bobwhite,WT_FLB_15DAA_rep3,Illumina HiSeq 2500,15 days after anthesis rep3,PO_0001170,seed development stage,flag leaf blade,,,NA,NA,NA
SRP187343,SRR8658946,Xiaoyan-6,GR15-1,Illumina HiSeq 2500,15 days post-anthesis,PO_0001170,seed development stage,grains at 15 DPA replicate 1,PO_0009010,seed,NA,NA,NA
SRP187343,SRR8658945,Xiaoyan-6,GR15-2,Illumina HiSeq 2500,15 days post-anthesis,PO_0001170,seed development stage,grains at 15 DPA replicate 2,PO_0009010,seed,NA,NA,NA
SRP056412,SRR1958792,not applicable,SRR1958792,Illumina HiSeq 2000,15 DPA,PO_0001170,seed development stage,Caryopsis,PO_0030104,caryopsis fruit,NA,NA,NA
SRP056412,SRR1958784,not applicable,SRR1958784,Illumina HiSeq 2000,15 DPA,PO_0001170,seed development stage,Caryopsis,PO_0030104,caryopsis fruit,NA,NA,NA
SRP056412,SRR1958783,not applicable,SRR1958783,Illumina HiSeq 2000,15 DPA,PO_0001170,seed development stage,Caryopsis,PO_0030104,caryopsis fruit,NA,NA,NA
SRP056412,SRR1958778,not applicable,SRR1958778,Illumina HiSeq 2000,15 DPA,PO_0001170,seed development stage,Caryopsis,PO_0030104,caryopsis fruit,NA,NA,NA
SRP056412,SRR1958777,not applicable,SRR1958777,Illumina HiSeq 2000,15 DPA,PO_0001170,seed development stage,Caryopsis,PO_0030104,caryopsis fruit,NA,NA,NA
SRP056412,SRR1958771,not applicable,SRR1958771,Illumina HiSeq 2000,15 DPA,PO_0001170,seed development stage,Caryopsis,PO_0030104,caryopsis fruit,NA,NA,NA
SRP056412,SRR1958770,not applicable,SRR1958770,Illumina HiSeq 2000,15 DPA,PO_0001170,seed development stage,Caryopsis,PO_0030104,caryopsis fruit,NA,NA,NA
SRP056412,SRR1958765,not applicable,SRR1958765,Illumina HiSeq 2000,15 DPA,PO_0001170,seed development stage,Caryopsis,PO_0030104,caryopsis fruit,NA,NA,NA
SRP056412,SRR1958764,not applicable,SRR1958764,Illumina HiSeq 2000,15 DPA,PO_0001170,seed development stage,Caryopsis,PO_0030104,caryopsis fruit,NA,NA,NA
SRP056412,SRR1958761,not applicable,SRR1958761,Illumina HiSeq 2000,15 DPA,PO_0001170,seed development stage,Caryopsis,PO_0030104,caryopsis fruit,NA,NA,NA
SRP056412,SRR1958760,not applicable,SRR1958760,Illumina HiSeq 2000,15 DPA,PO_0001170,seed development stage,Caryopsis,PO_0030104,caryopsis fruit,NA,NA,NA
SRP056412,SRR1958751,not applicable,SRR1958751,Illumina HiSeq 2000,15 DPA,PO_0001170,seed development stage,Caryopsis,PO_0030104,caryopsis fruit,NA,NA,NA
SRP056412,SRR1958746,not applicable,SRR1958746,Illumina HiSeq 2000,15 DPA,PO_0001170,seed development stage,Caryopsis,PO_0030104,caryopsis fruit,NA,NA,NA
SRP056412,SRR1958745,not applicable,SRR1958745,Illumina HiSeq 2000,15 DPA,PO_0001170,seed development stage,Caryopsis,PO_0030104,caryopsis fruit,NA,NA,NA
SRP056412,SRR1958739,not applicable,SRR1958739,Illumina HiSeq 2000,15 DPA,PO_0001170,seed development stage,Caryopsis,PO_0030104,caryopsis fruit,NA,NA,NA
SRP056412,SRR1958738,not applicable,SRR1958738,Illumina HiSeq 2000,15 DPA,PO_0001170,seed development stage,Caryopsis,PO_0030104,caryopsis fruit,NA,NA,NA
SRP056412,SRR1958731,not applicable,SRR1958731,Illumina HiSeq 2000,15 DPA,PO_0001170,seed development stage,Caryopsis,PO_0030104,caryopsis fruit,NA,NA,NA
SRP056412,SRR1958730,not applicable,SRR1958730,Illumina HiSeq 2000,15 DPA,PO_0001170,seed development stage,Caryopsis,PO_0030104,caryopsis fruit,NA,NA,NA
SRP056412,SRR1958729,not applicable,SRR1958729,Illumina HiSeq 2000,15 DPA,PO_0001170,seed development stage,Caryopsis,PO_0030104,caryopsis fruit,NA,NA,NA
SRP056412,SRR1958728,not applicable,SRR1958728,Illumina HiSeq 2000,15 DPA,PO_0001170,seed development stage,Caryopsis,PO_0030104,caryopsis fruit,NA,NA,NA
SRP056412,SRR1958727,not applicable,SRR1958727,Illumina HiSeq 2000,15 DPA,PO_0001170,seed development stage,Caryopsis,PO_0030104,caryopsis fruit,NA,NA,NA
SRP056412,SRR1958698,not applicable,SRR1958698,Illumina HiSeq 2000,15 DPA,PO_0001170,seed development stage,Caryopsis,PO_0030104,caryopsis fruit,NA,NA,NA
SRP056412,SRR1955059,not applicable,SRR1955059,Illumina HiSeq 2000,15 DPA,PO_0001170,seed development stage,Caryopsis,PO_0030104,caryopsis fruit,NA,NA,NA
